Province,District,2014,2019,2024
Adana,Aladağ,17113,16121,16190
Adana,Ceyhan,159454,160977,155965
Adana,Feke,17820,16919,16116
Adana,Karaisalı,21682,21948,22997
Adana,Karataş,22178,23678,24304
Adana,Kozan,128893,131633,132911
Adana,Pozantı,20004,19974,20235
Adana,Saimbeyli,16000,14764,13451
Adana,Sarıçam,143547,181610,251259
Adana,Seyhan,779232,796286,786931
Adana,Tufanbeyli,19184,17102,16524
Adana,Yumurtalık,18457,18026,17970
Adana,Yüreğir,419240,414574,399910
Adana,Çukurova,353680,376390,378650
Adana,İmamoğlu,29111,27938,27071
Adıyaman,Adıyaman Merkez,283556,308915,290883
Adıyaman,Besni,75910,76674,75849
Adıyaman,Gerger,20368,17552,15052
Adıyaman,Gölbaşı,47593,49253,47983
Adıyaman,Kahta,117964,123861,134524
Adıyaman,Samsat,8534,7980,6756
Adıyaman,Sincik,18107,16855,16016
Adıyaman,Tut,10422,9905,9333
Adıyaman,Çelikhan,15381,15470,14641
Afyonkarahisar,Afyonkarahisar Merkez,274639,306908,328319
Afyonkarahisar,Bayat,8412,7673,7725
Afyonkarahisar,Başmakçı,10436,9788,9208
Afyonkarahisar,Bolvadin,45098,45384,45468
Afyonkarahisar,Dazkırı,11104,11204,11670
Afyonkarahisar,Dinar,47889,47400,47326
Afyonkarahisar,Emirdağ,38269,37361,43484
Afyonkarahisar,Evciler,7634,7367,7063
Afyonkarahisar,Hocalar,10184,9496,8395
Afyonkarahisar,Kızılören,2526,2329,2034
Afyonkarahisar,Sandıklı,56708,55331,54952
Afyonkarahisar,Sinanpaşa,41004,39734,38428
Afyonkarahisar,Sultandağı,15988,14566,13779
Afyonkarahisar,Çay,32597,31179,29459
Afyonkarahisar,Çobanlar,14028,14363,14403
Afyonkarahisar,İhsaniye,28253,27929,27904
Afyonkarahisar,İscehisar,24225,24683,25084
Afyonkarahisar,Şuhut,37377,36788,35492
Aksaray,Aksaray Merkez,278171,301661,324816
Aksaray,Ağaçören,8881,7972,7628
Aksaray,Eskil,25984,26452,27822
Aksaray,Gülağaç,19801,19615,19382
Aksaray,Güzelyurt,12147,11223,10782
Aksaray,Ortaköy,34048,32639,31287
Aksaray,Sarıyahşi,5220,5658,5008
Aksaray,Sultanhanı,,11147,12749
Amasya,Amasya Merkez,135950,150828,151058
Amasya,Göynücek,10771,10207,10787
Amasya,Gümüşhacıköy,23254,23402,22663
Amasya,Hamamözü,4056,3802,3567
Amasya,Merzifon,69937,72277,76854
Amasya,Suluova,46612,46649,47101
Amasya,Taşova,31333,30635,30348
Ankara,Akyurt,29403,36123,44541
Ankara,Altındağ,361259,389510,414893
Ankara,Ayaş,13018,13900,13670
Ankara,Bala,22142,30280,21893
Ankara,Beypazarı,47646,48371,48445
Ankara,Elmadağ,43666,45557,45133
Ankara,Etimesgut,501351,617219,629112
Ankara,Evren,2901,3097,3096
Ankara,Gölbaşı,118346,138944,165201
Ankara,Güdül,8626,8892,8521
Ankara,Haymana,31176,30930,27241
Ankara,Kahramankazan,47224,54806,62060
Ankara,Kalecik,13604,13234,12801
Ankara,Keçiören,872025,923404,932128
Ankara,Kızılcahamam,25767,28350,28823
Ankara,Mamak,587565,682279,686777
Ankara,Nallıhan,29289,27579,26488
Ankara,Polatlı,121101,125075,130515
Ankara,Pursaklar,129152,150488,165665
Ankara,Sincan,497516,535637,590309
Ankara,Yenimahalle,608217,701638,714866
Ankara,Çamlıdere,6781,9825,10475
Ankara,Çankaya,913715,937546,947330
Ankara,Çubuk,84636,90764,100750
Ankara,Şereflikoçhisar,33946,33821,33316
Antalya,Akseki,12254,11484,10546
Antalya,Aksu,68106,73220,82560
Antalya,Alanya,285407,327503,361873
Antalya,Demre,26059,26362,27814
Antalya,Döşemealtı,53554,65794,90572
Antalya,Elmalı,38598,38972,41853
Antalya,Finike,46853,48534,51620
Antalya,Gazipaşa,48561,50555,55362
Antalya,Gündoğmuş,7949,7737,7353
Antalya,Kaş,55574,59716,63921
Antalya,Kemer,41621,46143,50436
Antalya,Kepez,470759,556033,629479
Antalya,Konyaaltı,145648,190043,196079
Antalya,Korkuteli,52913,55352,58728
Antalya,Kumluca,66783,70423,75041
Antalya,Manavgat,215526,241011,262576
Antalya,Muratpaşa,465927,510368,509444
Antalya,Serik,117670,129418,143435
Antalya,İbradı,2800,3032,3411
Ardahan,Ardahan Merkez,40960,42374,42146
Ardahan,Damal,5767,5334,4653
Ardahan,Göle,27142,24863,22214
Ardahan,Hanak,9484,8776,7836
Ardahan,Posof,7322,6629,6057
Ardahan,Çıldır,10134,9343,8448
Artvin,Ardanuç,11160,11449,11006
Artvin,Arhavi,20306,20926,21821
Artvin,Artvin Merkez,34050,35186,36071
Artvin,Borçka,23162,22831,22288
Artvin,Hopa,34234,26958,27806
Artvin,Kemalpaşa,,9224,9343
Artvin,Murgul,6142,7031,6331
Artvin,Yusufeli,21596,20154,18080
Artvin,Şavşat,19024,17116,16534
Aydın,Bozdoğan,34576,33627,31945
Aydın,Buharkent,12458,12793,13115
Aydın,Didim,73385,86688,101474
Aydın,Efeler,270835,293816,308551
Aydın,Germencik,43256,43968,44677
Aydın,Karacasu,19536,18389,17508
Aydın,Karpuzlu,11603,10952,10510
Aydın,Koçarlı,23859,23397,22464
Aydın,Kuyucak,27505,26671,26684
Aydın,Kuşadası,101619,116966,137015
Aydın,Köşk,27005,27846,28436
Aydın,Nazilli,149816,159544,162041
Aydın,Sultanhisar,20910,20458,20147
Aydın,Söke,115936,121481,123850
Aydın,Yenipazar,12963,12481,11834
Aydın,Çine,50585,49339,48209
Aydın,İncirliova,46132,52556,57483
Ağrı,Ağrı Merkez,146007,151083,150602
Ağrı,Diyadin,44693,41512,36416
Ağrı,Doğubayazıt,121112,119807,114769
Ağrı,Eleşkirt,37744,32593,28901
Ağrı,Hamur,20364,18152,14961
Ağrı,Patnos,125324,122850,109224
Ağrı,Taşlıçay,21611,20029,18152
Ağrı,Tutak,32580,30173,26776
Balıkesir,Altıeylül,172023,181286,185351
Balıkesir,Ayvalık,69880,70720,75126
Balıkesir,Balya,13912,12451,12695
Balıkesir,Bandırma,145089,156787,167363
Balıkesir,Bigadiç,48470,49926,48445
Balıkesir,Burhaniye,57554,60490,67039
Balıkesir,Dursunbey,39411,33333,32778
Balıkesir,Edremit,140161,155837,173689
Balıkesir,Erdek,34676,31902,32021
Balıkesir,Gömeç,13431,16880,18269
Balıkesir,Gönen,73095,74871,75486
Balıkesir,Havran,27876,28058,28107
Balıkesir,Karesi,170776,183084,190427
Balıkesir,Kepsut,24180,22825,21886
Balıkesir,Manyas,20477,18066,17890
Balıkesir,Marmara,9456,10601,11708
